user_id,kp_id,question_id,difficulty,type,recent_correct_rate,recent_attempts,recent_avg_duration_ms,is_correct
1,4,143,0.39,mcq,0.000,0,0,1
1,1,111,0.46,mcq,0.000,0,0,1
1,6,136,0.59,blank,0.000,0,0,1
1,1,283,0.42,mcq,1.000,1,12997,1
1,5,36,0.57,mcq,0.000,0,0,1
1,1,52,0.29,mcq,1.000,2,11990,0
1,7,108,0.41,blank,0.000,0,0,1
1,11,88,0.40,mcq,0.000,0,0,1
1,9,286,0.44,blank,0.000,0,0,0
1,4,17,0.31,mcq,1.000,1,9889,1
1,6,162,0.40,mcq,1.000,1,17554,1
1,4,136,0.35,mcq,1.000,2,9109,1
1,3,299,0.45,blank,0.000,0,0,0
1,7,25,0.10,blank,1.000,1,17360,1
1,2,198,0.51,mcq,0.000,0,0,0
1,7,6,0.28,blank,1.000,2,17060,1
1,11,175,0.40,mcq,1.000,1,19698,1
1,2,135,0.42,blank,0.000,1,20340,0
1,9,260,0.47,blank,0.000,1,16750,0
1,10,272,0.50,blank,0.000,0,0,0
1,1,158,0.28,blank,0.667,3,12252,1
1,4,249,0.80,mcq,1.000,3,9775,1
1,2,282,0.67,blank,0.000,2,19904,0
1,3,277,0.42,mcq,0.000,1,21666,1
1,12,192,0.35,blank,0.000,0,0,0
1,8,11,0.61,blank,0.000,0,0,1
1,10,31,0.22,blank,0.000,1,21354,1
1,4,143,0.49,blank,1.000,4,12422,1
1,11,296,0.23,mcq,1.000,2,14890,1
1,8,221,0.46,mcq,1.000,1,14695,1
1,6,51,0.27,mcq,1.000,2,15920,1
1,1,98,0.32,mcq,0.750,4,11859,1
1,9,39,0.27,blank,0.000,2,16187,1
1,8,277,0.58,blank,1.000,2,16014,0
1,1,249,0.85,mcq,0.800,5,12306,1
1,8,200,0.49,blank,0.667,3,15781,1
1,5,285,0.73,blank,1.000,1,12786,0
1,11,297,0.43,blank,1.000,3,13928,0
1,12,258,0.16,blank,0.000,1,13469,1
1,9,35,0.70,blank,0.333,3,15153,1
1,11,297,0.57,mcq,0.750,4,14629,1
1,10,162,0.52,mcq,0.500,2,15965,0
1,5,154,0.53,blank,0.500,2,16311,1
1,8,289,0.33,blank,0.750,4,16175,1
1,2,36,0.56,blank,0.000,3,20140,0
1,4,271,0.38,mcq,1.000,5,12969,1
1,1,69,0.34,mcq,0.833,6,13278,1
1,5,108,0.51,mcq,0.667,3,17266,1
1,12,129,0.30,mcq,0.500,2,11660,1
1,1,67,0.61,blank,0.857,7,12849,1
1,11,288,0.56,mcq,0.800,5,14478,0
1,1,19,0.78,mcq,0.875,8,13459,1
1,6,21,0.36,blank,1.000,3,15128,1
1,6,209,0.48,blank,1.000,4,14505,1
1,10,91,0.45,blank,0.333,3,17150,1
1,7,128,0.74,blank,1.000,3,14976,0
1,5,241,0.60,blank,0.750,4,16939,1
1,4,117,0.58,blank,1.000,6,13242,0
1,4,143,0.57,blank,0.857,7,14953,0
1,6,15,0.34,mcq,1.000,5,14932,1
1,2,20,0.55,mcq,0.000,4,20232,0
1,2,262,0.31,mcq,0.000,5,19834,1
1,2,1,0.27,blank,0.167,6,18437,1
1,9,101,0.65,mcq,0.500,4,17049,0
1,6,64,0.10,mcq,1.000,6,14287,1
1,12,152,0.62,mcq,0.667,3,13028,1
1,9,90,0.58,mcq,0.400,5,17518,0
1,10,108,0.28,mcq,0.500,4,15033,1
1,7,110,0.50,blank,0.750,4,16861,1
1,9,44,0.10,mcq,0.333,6,18239,1
1,5,121,0.20,blank,0.800,5,17448,1
1,11,244,0.33,blank,0.667,6,15313,1
1,10,100,0.49,mcq,0.600,5,14291,1
1,12,3,0.38,blank,0.750,4,13454,1
1,2,238,0.47,mcq,0.286,7,17865,0
1,1,238,0.10,blank,0.889,9,14437,1
1,11,227,0.22,blank,0.714,7,15576,1
1,10,229,0.60,mcq,0.667,6,14260,0
1,3,142,0.44,blank,0.500,2,20350,1
1,9,121,0.32,mcq,0.429,7,17219,1
2,10,245,0.48,mcq,0.000,0,0,0
2,1,215,0.59,blank,0.000,0,0,0
2,9,113,0.45,mcq,0.000,0,0,1
2,5,208,0.41,blank,0.000,0,0,0
2,12,14,0.55,blank,0.000,0,0,0
2,7,237,0.23,blank,0.000,0,0,1
2,3,195,0.62,blank,0.000,0,0,0
2,5,10,0.45,blank,0.000,1,18155,1
2,12,21,0.10,blank,0.000,1,22048,1
2,1,65,0.56,blank,0.000,1,19360,1
2,8,189,0.34,blank,0.000,0,0,0
2,3,84,0.10,mcq,0.000,1,21162,0
2,5,193,0.48,blank,0.500,2,13942,0
2,7,125,0.56,mcq,1.000,1,9717,0
2,2,290,0.40,mcq,0.000,0,0,0
2,1,175,0.34,blank,0.500,2,17304,1
2,1,236,0.65,blank,0.667,3,16621,0
2,12,276,0.51,mcq,0.500,2,14802,0
2,8,126,0.12,mcq,0.000,1,14232,1
2,2,195,0.41,mcq,0.000,1,15800,1
2,6,133,0.80,blank,0.000,0,0,1
2,6,265,0.41,mcq,1.000,1,19420,1
2,4,244,0.70,mcq,0.000,0,0,0
2,11,208,0.40,blank,0.000,0,0,1
2,12,177,0.46,blank,0.333,3,16683,0
2,7,157,0.68,blank,0.500,2,14429,0
2,5,95,0.49,blank,0.333,3,15675,0
2,4,269,0.49,mcq,0.000,1,23403,0
2,10,92,0.43,blank,0.000,1,18638,1
2,5,284,0.67,blank,0.250,4,17453,0
