username,student_no,kp_code,score,completion_ratio,status,happened_at,note
student1,,CN-GEN-007,0.95,0.95,active,2026-03-22,阶段3课堂参与
student1,,CN-GEN-008,0.95,0.95,active,2026-03-24,阶段3课堂参与
student1,,CN-GEN-009,0.95,0.95,active,2026-03-26,阶段3课堂参与
student1,,CN-GEN-010,0.95,0.95,active,2026-03-28,阶段3课堂参与
student2,,CN-GEN-007,0.85,0.90,active,2026-03-22,阶段3课堂参与
student2,,CN-GEN-008,0.85,0.90,active,2026-03-24,阶段3课堂参与
student2,,CN-GEN-009,0.85,0.90,active,2026-03-26,阶段3课堂参与
student2,,CN-GEN-010,0.85,0.90,active,2026-03-28,阶段3课堂参与
student3,,CN-GEN-007,0.45,0.45,passive,2026-03-22,阶段3课堂参与
student3,,CN-GEN-008,0.40,0.40,passive,2026-03-24,阶段3课堂参与
student3,,CN-GEN-009,0.35,0.35,passive,2026-03-26,阶段3课堂参与
student3,,CN-GEN-010,0.30,0.30,passive,2026-03-28,阶段3课堂参与
