username,student_no,kp_code,watched_minutes,completion_ratio,happened_at,note
student1,,CN-GEN-007,52,0.95,2026-03-21,阶段3视频学习
student1,,CN-GEN-008,50,0.92,2026-03-22,阶段3视频学习
student1,,CN-GEN-009,48,0.90,2026-03-23,阶段3视频学习
student1,,CN-GEN-010,46,0.88,2026-03-24,阶段3视频学习
student2,,CN-GEN-007,48,0.90,2026-03-21,阶段3视频学习
student2,,CN-GEN-008,46,0.88,2026-03-22,阶段3视频学习
student2,,CN-GEN-009,44,0.86,2026-03-23,阶段3视频学习
student2,,CN-GEN-010,42,0.84,2026-03-24,阶段3视频学习
student3,,CN-GEN-007,22,0.42,2026-03-21,阶段3视频学习
student3,,CN-GEN-008,20,0.38,2026-03-22,阶段3视频学习
student3,,CN-GEN-009,18,0.34,2026-03-23,阶段3视频学习
student3,,CN-GEN-010,16,0.30,2026-03-24,阶段3视频学习
