username,student_no,kp_code,score,completion_ratio,status,happened_at,note
student1,,OS-1,80,0.90,done,2026-03-06,阶段1任务
student1,,OS-2,78,0.88,done,2026-03-07,阶段1任务
student1,,OS-3,76,0.85,done,2026-03-08,阶段1任务
student1,,OS-4,74,0.82,done,2026-03-09,阶段1任务
student2,,OS-1,68,0.75,done,2026-03-06,阶段1任务
student2,,OS-2,66,0.72,done,2026-03-07,阶段1任务
student2,,OS-3,64,0.70,done,2026-03-08,阶段1任务
student2,,OS-4,62,0.68,done,2026-03-09,阶段1任务
student3,,OS-1,50,0.52,in_progress,2026-03-06,阶段1任务
student3,,OS-2,48,0.50,in_progress,2026-03-07,阶段1任务
student3,,OS-3,46,0.48,in_progress,2026-03-08,阶段1任务
student3,,OS-4,44,0.45,in_progress,2026-03-09,阶段1任务
