username,student_no,kp_code,score,completion_ratio,duration_minutes,happened_at,note
student1,,OS-1,90,0.90,16,2026-06-09,阶段4小测
student1,,OS-2,88,0.88,17,2026-06-09,阶段4小测
student1,,OS-3,86,0.86,17,2026-06-10,阶段4小测
student1,,OS-4,84,0.84,18,2026-06-10,阶段4小测
student2,,OS-1,82,0.82,18,2026-06-09,阶段4小测
student2,,OS-2,80,0.80,18,2026-06-09,阶段4小测
student2,,OS-3,78,0.78,19,2026-06-10,阶段4小测
student2,,OS-4,76,0.76,19,2026-06-10,阶段4小测
student3,,OS-1,58,0.58,22,2026-06-09,阶段4小测
student3,,OS-2,56,0.56,23,2026-06-09,阶段4小测
student3,,OS-3,54,0.54,23,2026-06-10,阶段4小测
student3,,OS-4,52,0.52,24,2026-06-10,阶段4小测
