username,student_no,kp_code,watched_minutes,completion_ratio,happened_at,note
student1,,OS-1,52,0.98,2026-06-01,阶段4视频学习
student1,,OS-2,50,0.96,2026-06-02,阶段4视频学习
student1,,OS-3,48,0.95,2026-06-03,阶段4视频学习
student1,,OS-4,46,0.94,2026-06-04,阶段4视频学习
student2,,OS-1,46,0.90,2026-06-01,阶段4视频学习
student2,,OS-2,44,0.88,2026-06-02,阶段4视频学习
student2,,OS-3,42,0.86,2026-06-03,阶段4视频学习
student2,,OS-4,40,0.84,2026-06-04,阶段4视频学习
student3,,OS-1,24,0.50,2026-06-01,阶段4视频学习
student3,,OS-2,22,0.46,2026-06-02,阶段4视频学习
student3,,OS-3,20,0.42,2026-06-03,阶段4视频学习
student3,,OS-4,18,0.38,2026-06-04,阶段4视频学习
